고객번호,가입일,연령,성별,거주지역,카드등급,가입기간_개월,신용점수,월평균이용금액,최근3개월평균이용금액,이용가맹점수,온라인이용비율,리볼빙사용여부,연체횟수_최근1년,콜센터문의횟수_최근6개월,해지여부
CUST000000,2021-06-29,47.0,여성,충청,플래티넘,60.0,649.0,642000.0,288000.0,9,0.298,미사용,0,0,유지
CUST000001,2022-04-18,24.0,남성,영남,골드,50.4,816.0,462000.0,425000.0,18,0.562,미사용,0,0,유지
CUST000002,2025-01-14,42.0,여성,수도권,일반,17.5,640.0,354000.0,269000.0,20,0.339,미사용,1,0,해지
CUST000003,2025-08-10,33.0,남성,수도권,골드,10.6,682.0,710000.0,459000.0,18,0.165,사용,0,1,해지
CUST000004,2025-02-17,19.0,여성,수도권,일반,16.4,670.0,246000.0,239000.0,26,,사용,1,1,유지
CUST000005,2019-07-05,52.0,여성,충청,골드,83.8,695.0,1405000.0,1717000.0,14,0.642,미사용,0,1,유지
CUST000006,2022-05-16,27.0,여성,충청,일반,49.5,574.0,1078000.0,788000.0,14,0.369,사용,0,0,해지
CUST000007,2021-11-15,36.0,남성,수도권,플래티넘,55.5,611.0,927000.0,1162000.0,11,0.051,미사용,0,2,유지
CUST000008,2019-10-18,56.0,여성,수도권,플래티넘,80.4,549.0,650000.0,667000.0,13,0.756,사용,0,1,유지
CUST000009,2019-07-16,40.0,남성,영남,블랙,83.5,588.0,320000.0,251000.0,14,0.318,미사용,1,0,유지
CUST000010,2023-01-29,65.0,남성,수도권,일반,41.0,578.0,367000.0,366000.0,15,0.541,미사용,0,0,유지
CUST000011,2019-04-28,57.0,여성,수도권,일반,86.1,741.0,279000.0,248000.0,17,0.682,미사용,0,2,유지
CUST000012,2020-05-22,49.0,여성,호남,플래티넘,73.3,661.0,1026000.0,533000.0,8,0.514,미사용,0,1,유지
CUST000013,2020-10-26,42.0,여성,수도권,골드,68.1,690.0,585000.0,495000.0,17,0.507,사용,2,0,해지
