로트번호,설비,작업조,원자재공급사,용접전류,용접속도,예열온도,판두께,작업시간,습도,품질판정
LOT00000,2호기,A조,다공업체,178.0,43.11,121.2,6.37,41.5,95.0,불량
LOT00001,2호기,C조,가공업체,161.0,42.54,126.1,3.76,37.9,52.9,양품
LOT00002,2호기,C조,가공업체,186.3,30.57,125.2,6.97,36.9,46.2,양품
LOT00003,3호기,B조,가공업체,167.9,36.38,174.0,5.47,34.1,42.3,양품
LOT00004,3호기,B조,가공업체,176.1,43.68,136.2,7.84,32.8,39.3,양품
LOT00005,1호기,A조,가공업체,192.7,49.19,138.1,6.85,30.9,68.0,불량
LOT00006,3호기,B조,나공업체,179.9,45.8,135.7,6.23,43.7,23.3,불량
LOT00007,4호기,B조,다공업체,168.2,45.84,135.6,5.44,43.5,48.9,불량
LOT00008,2호기,A조,가공업체,209.3,44.75,137.4,6.61,49.6,31.8,양품
LOT00009,1호기,B조,나공업체,201.3,51.45,162.7,6.77,39.3,71.1,양품
LOT00010,4호기,B조,나공업체,172.6,42.38,151.5,5.49,34.5,56.7,양품
LOT00011,3호기,C조,가공업체,156.9,44.63,156.9,6.42,39.0,61.5,양품
LOT00012,2호기,C조,가공업체,196.0,39.33,159.8,5.97,47.1,54.5,양품
LOT00013,3호기,A조,가공업체,203.9,28.09,139.1,5.81,19.7,65.7,불량
LOT00014,4호기,A조,가공업체,187.0,38.56,162.3,5.96,33.4,79.1,양품
LOT00015,2호기,C조,다공업체,197.1,47.08,137.8,6.15,32.1,46.8,불량
LOT00016,1호기,C조,가공업체,195.2,37.75,177.9,7.66,45.0,59.7,양품
LOT00017,1호기,A조,다공업체,167.7,39.75,132.2,5.77,43.3,61.9,양품
LOT00018,3호기,B조,가공업체,208.3,41.35,,7.51,27.1,60.2,불량
LOT00019,1호기,B조,다공업체,193.6,31.04,114.8,5.72,30.0,58.8,불량
LOT00020,4호기,A조,가공업체,169.7,37.55,159.6,6.33,38.8,67.0,양품
