일자,지점코드,지역,판매채널,영업사원수,광고비,방문고객수,평균할인율,고객만족도,매출액
2024-02-27,BR001,충청,대리점,17,,293,0.11,4.17,32330000.0
2025-05-10,BR002,수도권,대리점,14,869000.0,342,0.052,3.62,44131000.0
2025-02-22,BR010,수도권,직영점,14,1819000.0,312,0.18,3.81,46652000.0
2024-10-07,BR040,충청,대리점,11,3077000.0,304,0.113,4.34,33959000.0
2024-10-04,BR021,강원,대리점,2,1812000.0,318,0.097,4.81,23499000.0
2025-07-03,BR032,영남,대리점,8,962000.0,326,0.132,4.08,18334000.0
2024-02-25,BR019,충청,직영점,15,2919000.0,329,0.084,4.38,39189000.0
2025-03-22,BR008,수도권,대리점,16,5769000.0,300,0.117,3.38,53266000.0
2024-05-08,BR017,수도권,대리점,12,4848000.0,317,0.045,4.22,49220000.0
2024-03-01,BR005,수도권,직영점,14,7894000.0,328,0.159,4.07,63383000.0
2024-12-02,BR035,호남,직영점,2,6067000.0,315,0.105,4.71,38506000.0
2025-09-16,BR009,호남,대리점,10,1112000.0,322,0.162,3.83,25399000.0
2025-04-15,BR017,호남,대리점,11,4410000.0,332,,3.98,39014000.0
2025-05-02,BR045,강원,직영점,18,2480000.0,309,0.104,4.63,38358000.0
2025-04-04,BR027,강원,온라인,7,4349000.0,319,0.055,4.05,22846000.0
2025-05-18,BR021,강원,대리점,6,838000.0,317,0.144,,17961000.0
2024-11-24,BR025,수도권,온라인,8,3089000.0,340,0.071,5.0,27951000.0
2024-03-22,BR036,수도권,대리점,5,7083000.0,327,0.088,3.56,45560000.0
2025-06-21,BR012,수도권,대리점,12,3202000.0,326,0.11,4.07,39147000.0
2024-10-15,BR029,영남,대리점,13,1534000.0,311,0.115,4.27,35246000.0
2024-11-16,BR040,수도권,온라인,16,1333000.0,258,0.033,4.23,40683000.0
2024-08-25,BR026,호남,대리점,19,3305000.0,341,0.1,4.01,38888000.0
2024-04-26,BR021,영남,대리점,3,4162000.0,321,0.146,4.01,36710000.0
2025-08-16,BR007,영남,대리점,6,3105000.0,303,0.093,3.98,32057000.0
2025-05-15,BR012,수도권,대리점,7,2533000.0,302,0.1,3.54,47102000.0
2025-02-16,BR043,수도권,직영점,6,1456000.0,334,0.117,5.0,44969000.0
2024-09-14,BR025,수도권,대리점,16,4112000.0,299,0.104,3.99,43961000.0
2025-06-10,BR014,호남,대리점,4,2714000.0,315,0.064,4.4,24983000.0
2024-12-15,BR019,영남,온라인,2,1730000.0,339,0.108,3.93,22381000.0
2024-10-10,BR027,영남,대리점,17,5859000.0,316,0.155,3.92,45462000.0
2024-10-15,BR025,수도권,대리점,19,3782000.0,296,0.063,,48433000.0
2024-05-25,BR032,수도권,온라인,6,2268000.0,308,0.093,3.33,30429000.0
2024-02-28,BR012,충청,대리점,7,1372000.0,322,,4.02,27158000.0
2024-12-20,BR030,호남,직영점,11,3132000.0,282,0.152,3.9,30687000.0
2025-07-22,BR020,호남,직영점,11,3392000.0,300,0.106,,39782000.0
2024-02-10,BR043,수도권,직영점,19,2401000.0,321,0.072,3.5,58854000.0
2025-07-03,BR008,강원,직영점,9,3098000.0,312,0.114,3.81,32680000.0
2025-06-13,BR007,수도권,대리점,2,1232000.0,320,0.056,3.65,31477000.0
2024-06-26,BR021,호남,온라인,9,2365000.0,312,0.063,,31855000.0
2025-02-08,BR023,수도권,대리점,12,,304,0.044,3.67,35986000.0
2024-04-15,BR032,수도권,직영점,11,2141000.0,299,0.062,4.38,44168000.0
2025-04-30,BR019,호남,대리점,11,1492000.0,332,0.171,4.59,22416000.0
2025-03-24,BR042,수도권,직영점,18,3805000.0,324,0.077,,60156000.0
2024-08-14,BR022,충청,온라인,16,4133000.0,315,0.131,,35134000.0
2024-02-13,BR006,충청,직영점,6,3320000.0,316,0.072,3.42,30176000.0
2025-09-13,BR006,수도권,대리점,8,1598000.0,309,0.144,4.53,35381000.0
2024-10-12,BR044,영남,직영점,14,936000.0,334,0.064,3.47,38612000.0
2025-07-25,BR007,호남,대리점,9,4164000.0,323,0.112,4.3,33638000.0
2025-03-09,BR043,호남,대리점,9,2689000.0,327,0.112,4.16,26819000.0
2025-05-13,BR013,수도권,온라인,5,485000.0,342,0.215,4.29,24260000.0
2025-05-01,BR005,영남,직영점,6,2967000.0,309,0.138,,30500000.0
2024-05-04,BR014,수도권,온라인,15,,326,0.083,3.63,39585000.0
2024-08-20,BR028,수도권,대리점,17,668000.0,317,0.141,3.61,45932000.0
2024-10-25,BR020,수도권,온라인,16,3850000.0,309,0.206,4.46,41372000.0
2024-11-14,BR036,강원,온라인,7,773000.0,340,0.037,3.79,16497000.0
2024-01-29,BR028,호남,온라인,4,1460000.0,326,0.072,2.72,25000000.0
2024-12-15,BR019,호남,직영점,4,778000.0,355,0.099,4.42,25499000.0
2024-04-08,BR029,충청,직영점,9,1335000.0,352,0.091,3.58,37765000.0
2025-04-20,BR044,충청,직영점,11,943000.0,335,0.095,4.33,39433000.0
2025-03-13,BR019,충청,직영점,18,5206000.0,320,0.051,4.8,48329000.0
2025-08-13,BR007,영남,대리점,18,2238000.0,310,0.173,4.11,30629000.0
2025-04-21,BR019,충청,온라인,2,1892000.0,323,0.046,4.6,33138000.0
2024-08-22,BR038,수도권,온라인,14,5530000.0,275,0.101,4.18,46317000.0
2025-09-11,BR010,수도권,대리점,7,5346000.0,304,0.157,4.89,43625000.0
2024-09-19,BR043,강원,대리점,5,2011000.0,301,,3.57,24350000.0
2024-07-27,BR027,충청,온라인,11,3275000.0,319,0.066,4.1,31863000.0
2025-08-02,BR028,강원,온라인,2,1699000.0,320,0.049,4.44,24291000.0
2024-08-25,BR015,수도권,직영점,8,2497000.0,274,0.1,4.0,41687000.0
2024-02-18,BR042,영남,대리점,11,1102000.0,341,0.076,4.68,36204000.0
2024-10-27,BR002,수도권,온라인,6,3611000.0,323,0.119,3.88,30008000.0
2025-05-24,BR014,수도권,직영점,12,5673000.0,353,0.047,5.0,66763000.0
2024-05-01,BR019,수도권,대리점,10,5036000.0,319,0.147,5.0,47810000.0
2024-10-23,BR022,수도권,온라인,16,2780000.0,308,0.115,4.24,42569000.0
2024-03-24,BR022,호남,온라인,5,435000.0,291,0.119,4.38,19236000.0
2025-03-15,BR007,수도권,온라인,3,1637000.0,304,0.175,4.7,27446000.0
2024-10-31,BR011,영남,온라인,11,2495000.0,325,0.09,3.51,26415000.0
2024-07-30,BR005,충청,직영점,6,834000.0,356,0.077,3.44,32350000.0
2024-05-25,BR026,충청,직영점,14,703000.0,316,0.085,4.73,42160000.0
2024-12-27,BR016,영남,대리점,3,6696000.0,333,0.101,4.24,35127000.0
2025-03-04,BR026,수도권,대리점,12,4655000.0,333,0.106,3.99,50461000.0
2025-08-24,BR027,강원,대리점,19,,311,0.073,4.11,33194000.0
2024-10-06,BR032,호남,대리점,3,4303000.0,326,0.019,2.91,27968000.0
2024-04-12,BR025,영남,대리점,7,972000.0,278,0.085,4.0,22361000.0
2025-06-16,BR030,충청,대리점,17,1298000.0,279,0.126,3.72,24858000.0
2025-02-07,BR027,수도권,직영점,11,3139000.0,321,0.116,4.56,48144000.0
2025-03-24,BR030,강원,직영점,5,3312000.0,314,0.164,4.6,16946000.0
2024-03-03,BR028,수도권,직영점,5,788000.0,329,0.198,4.39,41900000.0
2024-07-18,BR015,수도권,직영점,15,2985000.0,343,0.144,4.3,55230000.0
2025-05-06,BR012,수도권,온라인,17,2529000.0,321,0.172,3.35,38024000.0
2025-06-16,BR036,호남,대리점,8,4931000.0,324,0.145,4.4,21952000.0
2024-10-05,BR016,영남,직영점,10,3324000.0,330,0.187,4.41,31410000.0
2025-05-30,BR025,호남,온라인,16,7189000.0,329,0.193,4.72,34054000.0
2025-06-22,BR009,호남,대리점,5,2020000.0,312,0.153,5.0,33853000.0
2024-09-04,BR020,수도권,직영점,5,1031000.0,322,0.142,3.25,32529000.0
2025-07-28,BR024,강원,직영점,15,7068000.0,301,0.101,3.91,41019000.0
2024-07-03,BR029,충청,직영점,5,3444000.0,318,0.108,3.73,29802000.0
2024-06-02,BR024,영남,대리점,15,2540000.0,353,0.095,4.19,39117000.0
2025-03-12,BR017,수도권,직영점,10,1340000.0,288,0.138,4.11,47764000.0
2025-02-11,BR044,강원,직영점,19,2038000.0,349,0.078,3.98,32391000.0
2024-03-30,BR024,수도권,직영점,2,1956000.0,317,0.101,,37473000.0
2025-06-16,BR037,수도권,대리점,19,991000.0,272,0.004,3.55,53001000.0
2024-05-07,BR034,충청,직영점,6,299000.0,296,0.188,3.58,23776000.0
2025-05-30,BR026,수도권,온라인,2,1921000.0,323,0.1,3.59,33337000.0
2024-01-05,BR040,수도권,직영점,15,4376000.0,293,0.131,3.92,52155000.0
2025-05-24,BR006,영남,대리점,11,5987000.0,317,0.176,,43469000.0
2025-05-18,BR042,충청,대리점,17,5058000.0,305,0.124,4.08,38589000.0
2025-05-14,BR039,강원,대리점,3,5251000.0,350,0.175,4.02,25360000.0
2025-03-01,BR023,수도권,직영점,3,1098000.0,315,0.054,3.71,39085000.0
2024-10-28,BR034,영남,온라인,12,3181000.0,327,0.218,4.54,28116000.0
2025-03-27,BR024,충청,온라인,17,3823000.0,294,0.159,4.07,30208000.0
2024-06-26,BR013,영남,직영점,9,3989000.0,323,0.119,4.63,40481000.0
2025-05-14,BR036,영남,직영점,16,2499000.0,309,0.174,4.0,45116000.0
2024-12-21,BR012,충청,온라인,18,2914000.0,307,0.057,4.09,31291000.0
2024-10-20,BR015,강원,대리점,17,4960000.0,328,0.097,3.82,24910000.0
2024-11-19,BR024,수도권,직영점,11,3730000.0,303,0.175,4.1,41443000.0
2024-12-29,BR038,수도권,직영점,14,4204000.0,339,0.026,4.46,53865000.0
2024-01-24,BR018,영남,대리점,11,1853000.0,284,0.135,3.89,34102000.0
2024-03-30,BR023,호남,대리점,14,4058000.0,337,0.134,4.36,28987000.0
2024-06-06,BR002,수도권,대리점,12,2887000.0,344,0.199,3.69,41661000.0
2024-03-14,BR006,충청,온라인,11,4636000.0,316,0.039,4.48,32547000.0
2024-10-08,BR003,호남,대리점,9,1530000.0,302,0.182,3.81,23896000.0
2025-03-03,BR004,영남,직영점,13,4391000.0,324,0.085,4.53,49157000.0
2025-02-22,BR040,강원,대리점,15,2059000.0,345,0.09,4.13,28019000.0
2024-10-28,BR038,영남,직영점,18,4404000.0,279,0.055,4.86,40584000.0
2025-07-01,BR037,영남,직영점,13,3195000.0,343,0.061,3.52,42452000.0
2024-12-27,BR003,수도권,직영점,3,2738000.0,319,0.128,3.36,40398000.0
2024-02-20,BR004,강원,직영점,12,2145000.0,344,0.06,3.79,36907000.0
2025-05-04,BR013,수도권,대리점,7,2548000.0,342,0.143,3.41,43834000.0
2025-01-02,BR026,영남,직영점,2,1924000.0,334,0.08,3.41,25583000.0
2025-02-10,BR016,충청,대리점,3,2111000.0,332,0.055,4.41,25810000.0
2024-12-27,BR022,영남,대리점,12,3662000.0,314,0.086,4.1,31436000.0
2024-12-20,BR008,영남,대리점,19,572000.0,295,0.125,3.86,41627000.0
2024-02-27,BR033,충청,온라인,11,4364000.0,323,0.098,3.91,33688000.0
2024-12-23,BR015,호남,온라인,10,4413000.0,326,0.112,3.8,29089000.0
2025-05-23,BR003,충청,대리점,3,2194000.0,317,0.141,4.93,26458000.0
2024-07-13,BR034,영남,직영점,14,2968000.0,329,0.159,3.73,46662000.0
2025-01-20,BR041,수도권,대리점,2,1222000.0,306,0.096,3.44,35540000.0
2024-01-20,BR001,충청,대리점,17,3503000.0,292,0.063,4.5,41988000.0
2024-08-10,BR020,충청,직영점,16,1355000.0,326,0.113,,38231000.0
2024-10-06,BR038,수도권,직영점,19,103000.0,311,0.131,5.0,50438000.0
2025-09-20,BR032,수도권,직영점,7,5840000.0,309,0.044,3.84,58126000.0
2024-05-17,BR039,영남,대리점,4,1108000.0,308,0.07,4.52,32570000.0
2024-06-25,BR019,영남,대리점,7,2508000.0,306,0.078,4.64,32870000.0
2024-09-18,BR017,영남,직영점,16,3048000.0,327,0.101,3.84,43366000.0
2025-09-27,BR032,수도권,온라인,5,3657000.0,315,0.076,3.73,39966000.0
2025-06-30,BR007,수도권,온라인,17,2671000.0,350,0.142,4.47,49567000.0
2024-01-23,BR011,수도권,직영점,4,3237000.0,311,0.038,4.39,44228000.0
2024-05-29,BR028,호남,온라인,2,2155000.0,327,0.039,3.39,20390000.0
2025-06-09,BR031,호남,직영점,5,,274,0.095,3.54,26494000.0
2024-02-07,BR006,수도권,온라인,15,2598000.0,298,0.102,2.83,39407000.0
2025-07-01,BR023,영남,온라인,12,4001000.0,351,0.045,4.4,34161000.0
2024-06-29,BR017,수도권,직영점,8,1168000.0,312,0.083,3.97,50898000.0
2025-08-10,BR023,수도권,온라인,13,3070000.0,333,0.092,4.02,42360000.0
2024-07-06,BR044,수도권,온라인,13,8104000.0,300,0.092,3.25,49963000.0
2024-10-04,BR004,수도권,온라인,11,2475000.0,335,0.117,3.55,43545000.0
2025-02-27,BR045,영남,온라인,11,2569000.0,329,0.08,3.86,29270000.0
2024-03-21,BR021,호남,대리점,3,629000.0,308,0.177,,19053000.0
2024-12-22,BR035,수도권,직영점,6,1051000.0,324,0.132,4.16,34335000.0
2024-11-19,BR020,영남,온라인,11,1368000.0,287,0.074,4.39,28827000.0
2025-05-16,BR014,영남,대리점,4,3897000.0,334,0.114,5.0,28104000.0
2025-09-29,BR035,강원,대리점,10,1238000.0,334,0.116,4.09,26135000.0
2025-03-01,BR031,영남,대리점,4,427000.0,328,0.165,4.66,27561000.0
2024-09-18,BR007,수도권,대리점,16,3453000.0,353,0.083,3.69,48386000.0
2024-09-17,BR032,영남,직영점,3,1473000.0,316,,3.26,27673000.0
2024-09-24,BR034,수도권,대리점,3,654000.0,339,0.112,3.92,34786000.0
2025-06-04,BR018,강원,직영점,13,4219000.0,289,0.177,3.3,24081000.0
2024-07-24,BR042,충청,대리점,5,1973000.0,347,0.168,,25888000.0
2024-04-16,BR029,영남,온라인,8,3675000.0,361,0.119,3.71,33333000.0
2024-08-01,BR016,수도권,대리점,7,632000.0,336,0.098,3.12,25861000.0
2024-01-15,BR001,충청,대리점,5,262000.0,310,0.133,4.97,26970000.0
2024-03-08,BR031,호남,직영점,15,2869000.0,325,0.102,3.83,30083000.0
2024-02-27,BR010,영남,온라인,14,1017000.0,330,0.186,3.28,26205000.0
2025-05-08,BR035,충청,대리점,6,2840000.0,332,0.114,4.55,24042000.0
2025-04-07,BR024,강원,직영점,14,2883000.0,339,0.092,3.74,37286000.0
2025-03-21,BR022,호남,직영점,14,2629000.0,330,0.089,,33303000.0
2024-10-22,BR008,수도권,직영점,11,5223000.0,302,0.055,3.73,49306000.0
2025-04-03,BR033,영남,대리점,12,12539000.0,336,0.135,3.83,52856000.0
2024-04-13,BR008,충청,온라인,18,3412000.0,302,0.073,4.27,30917000.0
2025-07-30,BR019,영남,대리점,10,8099000.0,353,0.159,4.4,37512000.0
2024-11-16,BR038,수도권,직영점,8,2014000.0,314,0.052,4.48,50167000.0
2025-08-23,BR042,수도권,온라인,11,851000.0,318,0.116,4.06,25424000.0
2024-04-07,BR045,호남,직영점,17,1555000.0,315,0.162,4.36,30888000.0
2024-11-14,BR044,강원,온라인,14,2107000.0,311,0.013,,22704000.0
2025-03-21,BR026,호남,직영점,3,8534000.0,303,0.201,4.2,39570000.0
2024-11-13,BR010,강원,대리점,10,2738000.0,298,0.091,,30233000.0
2024-10-12,BR038,영남,온라인,15,5351000.0,332,0.116,,40818000.0
2024-04-16,BR037,호남,직영점,6,1887000.0,300,,4.4,28246000.0
2024-08-31,BR045,호남,대리점,19,1713000.0,338,,4.12,22381000.0
2024-06-01,BR030,충청,온라인,16,606000.0,335,0.122,3.89,28184000.0
2024-07-11,BR007,충청,직영점,17,8361000.0,302,0.155,4.74,55540000.0
2025-03-13,BR023,수도권,직영점,3,6525000.0,318,0.133,3.39,53122000.0
2025-02-07,BR021,영남,대리점,12,3092000.0,366,0.189,4.92,38690000.0
2025-01-23,BR038,수도권,직영점,11,2201000.0,312,0.134,4.09,41671000.0
2024-08-19,BR018,수도권,직영점,13,2813000.0,319,0.198,4.26,45930000.0
2025-09-06,BR015,영남,대리점,17,819000.0,328,0.151,3.9,42467000.0
2024-02-26,BR004,충청,온라인,8,3671000.0,325,0.029,3.27,21557000.0
2024-08-07,BR038,수도권,직영점,11,6182000.0,317,0.227,4.03,47851000.0
2024-03-16,BR034,호남,직영점,14,6383000.0,316,0.084,4.27,47748000.0
2024-08-04,BR002,호남,온라인,15,632000.0,291,0.177,4.44,22262000.0
2025-09-07,BR020,수도권,대리점,15,5319000.0,299,0.111,,46051000.0
2024-08-22,BR022,수도권,온라인,8,824000.0,338,0.158,3.0,34707000.0
2025-08-04,BR022,수도권,대리점,19,286000.0,307,0.079,3.33,45092000.0
2024-11-12,BR042,호남,온라인,2,5450000.0,312,0.138,5.0,24272000.0
2025-03-23,BR007,호남,대리점,10,1770000.0,317,0.099,,22282000.0
2024-10-19,BR014,수도권,직영점,12,4956000.0,324,0.181,4.81,63600000.0
2024-06-19,BR009,호남,온라인,3,4668000.0,321,0.13,3.63,23473000.0
2025-05-04,BR011,수도권,대리점,10,4281000.0,328,0.152,4.01,49712000.0
2025-09-12,BR041,충청,직영점,12,2788000.0,285,0.013,4.41,42843000.0
2024-06-17,BR043,강원,직영점,12,913000.0,294,0.106,3.69,23739000.0
2025-05-13,BR003,수도권,대리점,4,2110000.0,333,0.128,4.9,35150000.0
2024-06-16,BR029,수도권,직영점,6,6452000.0,338,0.12,4.14,60100000.0
2025-04-03,BR011,충청,직영점,6,5041000.0,298,0.153,4.33,40948000.0
2025-05-19,BR009,영남,직영점,13,2195000.0,292,0.094,3.97,32463000.0
2024-10-14,BR014,강원,대리점,7,2175000.0,303,0.112,4.43,25095000.0
2025-04-16,BR009,강원,대리점,12,4028000.0,296,0.163,4.89,26611000.0
2024-06-23,BR023,수도권,대리점,15,2935000.0,317,0.007,4.03,45900000.0
2024-02-20,BR045,수도권,직영점,16,2282000.0,313,0.137,4.96,55241000.0
2024-03-02,BR027,호남,직영점,5,3803000.0,349,0.095,3.79,26966000.0
2024-10-13,BR033,수도권,대리점,18,3717000.0,298,0.069,4.48,50829000.0
2025-07-31,BR023,호남,직영점,4,1590000.0,333,0.125,4.34,24601000.0
2024-03-22,BR001,영남,대리점,2,3357000.0,329,0.165,3.57,25323000.0
2024-10-18,BR004,수도권,직영점,2,3564000.0,311,0.157,4.21,40374000.0
2025-03-26,BR013,호남,직영점,5,2637000.0,310,0.104,4.1,25823000.0
2024-05-09,BR011,수도권,직영점,17,1454000.0,307,0.149,3.67,55224000.0
2025-04-06,BR038,충청,대리점,5,2060000.0,320,0.149,4.28,27512000.0
2024-07-14,BR038,영남,직영점,14,1219000.0,326,0.106,4.17,47619000.0
2025-06-01,BR039,충청,온라인,9,3420000.0,313,0.079,4.06,26897000.0
2025-01-05,BR029,영남,직영점,2,636000.0,315,0.081,4.07,27391000.0
2024-12-16,BR026,영남,대리점,9,6881000.0,325,,4.05,47334000.0
2024-04-23,BR030,강원,대리점,2,5995000.0,322,0.108,,22421000.0
2024-10-23,BR019,강원,직영점,10,3622000.0,311,0.063,4.17,30257000.0
2025-07-02,BR031,충청,대리점,12,4848000.0,302,0.034,3.78,38888000.0
2024-01-13,BR036,수도권,직영점,11,4636000.0,324,0.147,5.0,50022000.0
2025-04-30,BR035,영남,대리점,7,2967000.0,306,0.085,3.4,34720000.0
2024-11-11,BR028,강원,직영점,15,2330000.0,329,0.125,3.81,32583000.0
2025-04-05,BR003,수도권,온라인,12,2136000.0,350,0.166,3.85,41017000.0
2025-02-28,BR033,충청,온라인,6,7044000.0,338,0.051,5.0,37289000.0
2024-10-03,BR017,충청,직영점,9,1411000.0,340,0.108,3.44,36312000.0
2024-07-16,BR034,수도권,대리점,3,1435000.0,312,0.102,4.31,33424000.0
